Column1,Column2,Column3,Column4,Column5
19968,Jo?yo?,N5,?,1
20108,Jo?yo?,N5,?,2
20154,Jo?yo?,N5,?,2
20309,Jo?yo?,N5,?,7
20799,,,?,2
20803,Jo?yo?,N4,?,4
22899,Jo?yo?,N5,?,3
26085,Jo?yo?,N5,?,4
26178,Jo?yo?,N5,?,10
26408,Jo?yo?,N5,?,4
26412,Jo?yo?,N5,?,5
30007,Jo?yo?,N5,?,7
39135,Jo?yo?,N5,?,9
